filename,0lig,1cla,2uph,4sad,6qui
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_0,393.0,707.0,119.0,244.0,387.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_1,379.0,497.0,110.0,187.0,137.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_2,320.0,440.0,92.0,164.0,128.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_3,274.0,390.0,76.0,146.0,119.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_4,253.0,339.0,62.0,137.0,111.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_5,655.0,936.0,214.0,326.0,278.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_6,440.0,625.0,132.0,222.0,185.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_7,203.0,347.0,41.0,148.0,267.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_0,393.0,707.0,119.0,244.0,387.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_1,379.0,497.0,110.0,187.0,137.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_2,320.0,440.0,92.0,164.0,128.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_3,274.0,390.0,76.0,146.0,119.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_4,253.0,339.0,62.0,137.0,111.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_5,655.0,936.0,214.0,326.0,278.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_6,440.0,625.0,132.0,222.0,185.0
初音ミクの歌に巡音ルカが英語でラップ！『愛Dee』PV_-_Mitchie_M_[zkLJoFp2UAE]_7,203.0,347.0,41.0,148.0,267.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_0,361.0,1515.0,136.0,618.0,1841.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_1,7.0,225.0,24.0,133.0,355.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_2,289.0,1035.0,99.0,452.0,1281.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_3,269.0,504.0,63.0,275.0,653.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_4,388.0,442.0,70.0,272.0,566.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_5,524.0,556.0,92.0,335.0,695.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_6,132.0,547.0,52.0,261.0,714.0
日本国_国歌「君が代」_[tDrvgfDiEE4]_7,545.0,1081.0,128.0,518.0,1315.0
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_0,108.0,797.0,61.0,348.0,1032.0
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_1,72.0,396.0,32.0,187.0,525.0
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_2,213.0,510.0,51.0,204.0,538.0
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_3,586.0,1103.0,188.0,385.0,747.0
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_4,208.0,477.0,43.0,206.0,532.0
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_5,317.0,704.0,94.0,257.0,613.0
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_6,324.0,538.0,70.0,202.0,418.0
[Airi]_-_Ur_Style_[ydL96Ms_b1M]_7,710.0,1184.0,221.0,407.0,653.0
